source,target
ADAR,ADAL
ADAR,ADFR
ADAR,AIBL
ADAR,AIBR
ADAR,ASHR
ADAR,ASHR
ADAR,ASHR
ADAR,AVAL
ADAR,AVBL
ADAR,AVBL
ADAR,AVBR
ADAR,AVBR
ADAR,AVBR
ADAR,AVBR
ADAR,AVBR
ADAR,AVDL
ADAR,AVDL
ADAR,AVDL
ADAR,AVEL
ADAR,AVJL
ADAR,AVJL
ADAR,AVJL
ADAR,PVQR
ADAR,RICL
ADAR,RIMR
ADAR,RIMR
ADAR,RIMR
ADAR,RIMR
ADAR,RIMR
ADAR,RIPR
ADAR,RIVR
ADAR,SMDVL
ADAR,SMDVL
ADAR,URXR
ADAR,AVAR
ADAR,AVAR
ADAR,AVAR
ADAR,AVAR
ADAR,AVAR
ADAR,AVAR
ADAR,AVDR
ADAR,AVDR
ADAR,URYDR
ADAR,PVR
ADAR,PVR
ADAR,RIFR
ADAL,ADAR
ADAL,ADFL
ADAL,AIBL
ADAL,AIBR
ADAL,AIBR
ADAL,ASHL
ADAL,AVAR
ADAL,AVAR
ADAL,AVBL
ADAL,AVBL
ADAL,AVBL
ADAL,AVBL
ADAL,AVBR
ADAL,AVBR
ADAL,AVBR
ADAL,AVBR
ADAL,AVBR
ADAL,AVBR
ADAL,AVBR
ADAL,AVDL
ADAL,AVDR
ADAL,AVDR
ADAL,AVDR
ADAL,AVDR
ADAL,AVEL
ADAL,AVJR
ADAL,AVJR
ADAL,AVJR
ADAL,AVJR
ADAL,AVJR
ADAL,FLPR
ADAL,PVQL
ADAL,RICL
ADAL,RICL
ADAL,RICR
ADAL,RIML
ADAL,RIML
ADAL,RIML
ADAL,RIPL
ADAL,SMDVR
ADAL,SMDVR
ADAL,URXL
ADAL,URAVL
ADAL,AVAL
ADAL,AVAL
ADAL,ADLL
ADAL,ADLL
ADAL,AIAL
ADAL,ADAL
ADAL,PVPL
ADAL,OLQVL
ADFL,ADAL
ADFL,ADAL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AIZL
ADFL,AUAL
ADFL,AUAL
ADFL,AUAL
ADFL,AUAL
ADFL,AUAL
ADFL,OLQVL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIAL
ADFL,RIGL
ADFL,RIR
ADFL,RIR
ADFL,SMBVL
ADFL,SMBVL
ADFL,AWBL
ADFL,AWBL
ADFL,RIGR
ADFL,RIBL
ADFL,AIAL
ADFL,AIBL
ADFL,AWCR
ADFL,AIBR
ADFL,AFDL
ADFL,AFDL
ADFL,AFDL
ADFL,URXL
ADFL,SMBDL
ADFL,RIVL
ADFL,SMDVL
ADFL,ADLL
ADFL,AWCL
ADFL,URBL
ADFL,RIPL
ADFL,ASHL
ASHL,ADAL
ASHL,ADAL
ASHL,ADFL
ASHL,ADFL
ASHL,ADFL
ASHL,ADFL
ASHL,AIAL
ASHL,AIAL
ASHL,AIAL
ASHL,AIAL
ASHL,AIAL
ASHL,AIAL
ASHL,AIAL
ASHL,AIBL
ASHL,AIBL
ASHL,AIBL
ASHL,AIBL
ASHL,AIBL
ASHL,AIZL
ASHL,AIZL
ASHL,AIZL
ASHL,ASHR
ASHL,ASKL
ASHL,ASKL
ASHL,ASKL
ASHL,ASKL
ASHL,ASKL
ASHL,ASKL
ASHL,ASKL
ASHL,ASKL
ASHL,AVAL
ASHL,AVAL
ASHL,AVBL
ASHL,AVBL
ASHL,AVBL
ASHL,AVBL
ASHL,AVBL
ASHL,AVBL
ASHL,AVDL
ASHL,AVDL
ASHL,AVDR
ASHL,AVDR
ASHL,AVDR
ASHL,AVDR
ASHL,RIAL
ASHL,RIAL
ASHL,RIAL
ASHL,RIAL
ASHL,RICL
ASHL,RICL
ASHL,RIML
ASHL,RIPL
ASHL,RMGL
ASHL,ADLL
ASHL,ADLL
ASHL,ADLL
ASHL,AVAR
ASHL,HSNL
ASHL,HSNL
ASHL,RIR
ASHL,RIR
ASHL,RIR
ASHL,URXL
ASHL,URXL
ASHL,AVHR
ASHL,AVHR
ASHL,AVFL
AVDR,ADAL
AVDR,ADAL
AVDR,ADLL
AVDR,AS05
AVDR,AS10
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAL
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVAR
AVDR,AVBL
AVDR,AVDL
AVDR,AVDL
AVDR,AVDL
AVDR,AVDL
AVDR,AVDL
AVDR,AVDL
AVDR,AVJL
AVDR,AVJL
AVDR,DA01
AVDR,DA01
AVDR,DA02
AVDR,DA03
AVDR,DA03
AVDR,DA04
AVDR,DA04
AVDR,DA05
AVDR,DA05
AVDR,DA08
