# NEP of RID at inverse temperature 1.05xbeta_c = 4.510578977575599 with the edge RID-->URXL added; the p-values were calculated over 5000 randomly generated graphs with same degree sequence. 
source,target,kms_weight,p-value
RID,ADAR,0.00038838317840791947,1.0
RID,ADAL,0.0010079499515774223,0.9888
RID,ADFL,0.00024338345079976374,1.0
RID,ASHL,0.0002462655709188171,1.0
RID,AVDR,0.009418263492535049,0.3766
RID,PVQL,0.0006370461470274182,1.0
RID,ADEL,0.0004529566164948213,1.0
RID,AIAL,0.00027540369434870204,1.0
RID,AWAL,3.1320766591903046e-05,1.0
RID,PVPL,0.003789659894186663,0.977
RID,PVR,0.007479369465595838,0.3242
RID,RMGL,0.0006695292787585998,1.0
RID,ADFR,0.00027046482642074015,1.0
RID,ASHR,0.0010886365071275498,0.9998
RID,AVDL,0.007233366791854171,0.5286
RID,PVQR,0.0007139402401337965,1.0
RID,ADER,0.0006944400485349694,0.9902
RID,AIAR,0.0003624785251157336,1.0
RID,RICL,0.00026413946245133427,1.0
RID,RICR,0.00024657064616819343,1.0
RID,RIMR,0.0025575701632267397,1.0
RID,RMGR,0.0004218277569126651,1.0
RID,URBR,7.221893664355054e-05,1.0
RID,AINL,8.012889997981921e-05,1.0
RID,AVKR,0.0013326942583333976,1.0
RID,ALA,0.009821008470471697,0.0006
RID,BDUL,0.00016070006296564708,1.0
RID,FLPL,0.010792138671379126,0.002
RID,IL2L,0.00028642534155018043,1.0
RID,AVKL,0.002638894306418028,1.0
RID,ALNR,0.0010978952257611366,0.853
RID,AVAR,0.025600177580123243,0.7618
RID,AVM,0.00039793940367097397,0.715
RID,BDUR,0.00034970576785352356,1.0
RID,FLPR,0.001336406295666897,0.1898
RID,IL2R,2.9002012818036747e-05,1.0
RID,AWBL,0.00010331469507703726,1.0
RID,AIYR,0.00011983723265006176,1.0
RID,ASEL,3.892134082781694e-05,1.0
RID,AVHL,0.0024450343680996207,0.9796
RID,AWAR,6.84408473268282e-05,1.0
RID,AWBR,7.076528006003269e-05,1.0
RID,PVPR,0.006303429219271991,0.8028
RID,RIH,0.0003627589636860316,1.0
RID,ADLR,0.0004155656478014712,1.0
RID,ADLL,0.00024210756648146897,1.0
RID,OLQVL,0.0003012477279386403,1.0
RID,AVHR,0.0037206822819194287,0.7182
RID,CEPVL,0.00020541524578006988,1.0
RID,SDQR,0.000943504613462364,0.6228
RID,AFDR,0.00011112663983260879,1.0
RID,AFDL,0.00011495205484353947,1.0
RID,AIBL,0.0016500395041706285,1.0
RID,AINR,5.0866089455167405e-05,1.0
RID,ASER,9.931496634701663e-05,1.0
RID,AIBR,0.0023625417838641378,1.0
RID,RIR,0.000801357840429397,1.0
RID,ASIL,0.00012848817331913382,1.0
RID,AIML,0.000290649198984061,0.9982
RID,AIZL,0.0008100738328417583,1.0
RID,ASGL,3.1440535138499794e-05,1.0
RID,ASIR,4.0009594629671636e-05,1.0
RID,ASKL,0.00021731257924945067,1.0
RID,AWCL,3.907931102108704e-05,1.0
RID,HSNL,0.000196581893525446,1.0
RID,AIMR,6.255890471558158e-05,1.0
RID,AIZR,0.0005402710475452722,1.0
RID,ASGR,4.978721820469616e-05,1.0
RID,ASKR,0.000422801705219538,1.0
RID,AWCR,0.00010662433599595651,1.0
RID,DVC,0.004786940358867966,0.9286
RID,PVT,0.005771719089187479,0.73
RID,RIGR,0.0010464326811082424,1.0
RID,RIVL,0.00027381830011610146,1.0
RID,BAGL,0.0001647782741131588,1.0
RID,HSNR,0.0010497360799314904,1.0
RID,RIBR,0.0015629039294844718,1.0
RID,SAADL,0.00039765593433895865,1.0
RID,SAAVL,0.000331947198295954,1.0
RID,DB01,0.021420595804109238,0.0
RID,RIGL,0.0018825399751566708,1.0
RID,RIML,0.0019343561869015905,1.0
RID,RIS,0.0015072115832788413,0.9958
RID,RIVR,0.00031149111304198235,1.0
RID,RIBL,0.0017126913180949212,1.0
RID,SAADR,0.00036101005453984317,1.0
RID,SDQL,0.00043038023730667557,0.7646
RID,VB01,0.0017105119286989167,0.93
RID,SIBDR,0.00033219975424410194,1.0
RID,AUAR,0.0001404422698829716,1.0
RID,AUAL,0.0007135624397213852,0.9838
RID,AIYL,0.00012252708887507767,1.0
RID,BAGR,0.0004559585421738098,0.9998
RID,DVA,0.005867245933684913,1.0
RID,ALML,0.0002845311174155665,1.0
RID,RIFL,0.00036560798356414414,0.9998
RID,ALMR,0.0004016342809238117,0.8008
RID,SMBDR,0.0005065241240635299,1.0
RID,ALNL,0.00010907882516921513,1.0
RID,AVBL,0.01772081178192607,0.146
RID,AQR,0.0020245055463958936,0.8364
RID,PVCR,0.012858415208521034,0.441
RID,AVAL,0.026961387407560863,0.7542
RID,AS01,0.0031899023344760784,0.074
RID,VA03,0.004307043478492677,0.1018
RID,VD02,0.010430129383197487,0.1956
RID,AVBR,0.029445370453935086,0.0184
RID,AVEL,0.005158046713970944,1.0
RID,AVER,0.004641880658186679,1.0
RID,PVCL,0.013935858620186075,0.4462
RID,DA02,0.014853728201420278,0.0018
RID,AS02,0.011566457568064967,0.001
RID,VA04,0.0033206520997398634,0.0788
RID,AS03,0.0026828840724315546,0.0574
RID,VA05,0.005092480370789868,0.0954
RID,DA03,0.006356781787299009,0.1236
RID,AS04,0.0015172480469417546,0.0416
RID,DB03,0.012666454988809571,0.002
RID,AS05,0.003000167977860687,0.0552
RID,VA07,0.0023960131796483086,0.0466
RID,AS06,0.0025687927565681123,0.0436
RID,DA05,0.0067663537114346275,0.1256
RID,VA08,0.011363418721992433,0.0166
RID,PLMR,0.0004374410687831932,0.4448
RID,AS07,0.007760842541885678,0.0524
RID,AS08,0.005199855042487178,0.0636
