# NEP of RID at inverse temperature 1.05xbeta_c = 4.5106040361067885 with an edge RID --> ADLR added; the p-values were calculated over 5000 randomly generated graphs with same degree sequence. 
source,target,kms_weight,p-value
RID,ADAR,0.0005442860088575189,0.9994
RID,ADAL,0.0004512557698623065,1.0
RID,ADFL,9.53056120567119e-05,1.0
RID,ASHL,0.00012027840803294507,1.0
RID,AVDR,0.009599666711938923,0.3674
RID,PVQL,0.0006253273548950876,1.0
RID,ADEL,0.000439508357085741,1.0
RID,AIAL,0.0002641495152914304,1.0
RID,AWAL,3.2067559782752226e-05,1.0
RID,PVPL,0.003767844434873416,0.98
RID,PVR,0.007463264025243126,0.3212
RID,RMGL,0.0003085869577410303,1.0
RID,ADFR,0.0003200844862410906,1.0
RID,ASHR,0.0014752066157340212,0.9896
RID,AVDL,0.007832679461842917,0.3926
RID,PVQR,0.0007250608124133339,1.0
RID,ADER,0.000704788695676463,0.9926
RID,AIAR,0.001621051811288632,1.0
RID,RICL,0.0002585345966561929,1.0
RID,RICR,0.0004112454845616816,1.0
RID,RIMR,0.00257625519611438,1.0
RID,RMGR,0.0004758016679459354,1.0
RID,URBR,0.00045177699441010795,1.0
RID,AINL,8.330590787622558e-05,1.0
RID,AVKR,0.0013312808338213308,1.0
RID,ALA,0.009713494253073234,0.0008
RID,BDUL,0.00016028178132354573,1.0
RID,FLPL,0.010678917292264284,0.0016
RID,IL2L,6.40942174494555e-05,1.0
RID,AVKL,0.0026457232005604315,1.0
RID,ALNR,0.0010952604843523352,0.858
RID,AVAR,0.02610688801993838,0.7376
RID,AVM,0.00041209964709473264,0.703
RID,BDUR,0.0003503335435818353,1.0
RID,FLPR,0.0013345189439463055,0.1948
RID,IL2R,4.758093836800949e-05,1.0
RID,AWBL,9.484755190118658e-05,1.0
RID,AIYR,0.00020490693926923613,1.0
RID,ASEL,5.736949705108484e-05,1.0
RID,AVHL,0.0024726027125226025,0.9774
RID,AWAR,0.00010489983097671504,1.0
RID,AWBR,8.361367207471244e-05,1.0
RID,PVPR,0.006286534819668168,0.8088
RID,RIH,0.00034194406099371974,1.0
RID,ADLR,0.010268338135430008,0.0086
RID,ADLL,0.0003258395345917386,1.0
RID,OLQVL,0.00014984028935508567,1.0
RID,AVHR,0.003705357499254895,0.7158
RID,CEPVL,0.00018442990038354857,1.0
RID,SDQR,0.0009421940945048708,0.6232
RID,AFDR,0.00015050932599418583,1.0
RID,AFDL,0.00010698863976072127,1.0
RID,AIBL,0.001644510610073158,1.0
RID,AINR,3.291822315574203e-05,1.0
RID,ASER,0.00024414922840877934,1.0
RID,AIBR,0.0036700179377802916,1.0
RID,RIR,0.0006707184092396189,1.0
RID,ASIL,2.4910071634088032e-05,1.0
RID,AIML,6.32166743884319e-05,1.0
RID,AIZL,0.000646104290040572,1.0
RID,ASGL,1.9242218849426594e-05,1.0
RID,ASIR,9.202348827395988e-05,1.0
RID,ASKL,0.00019661245213440962,1.0
RID,AWCL,6.870915761892087e-05,1.0
RID,HSNL,0.00019966517462317223,1.0
RID,AIMR,8.346051574654118e-05,1.0
RID,AIZR,0.0005600249447014789,1.0
RID,ASGR,0.00023353911230462236,1.0
RID,ASKR,0.0005934978060309212,1.0
RID,AWCR,0.0005008230069174354,1.0
RID,DVC,0.0048047107178269925,0.9232
RID,PVT,0.00578715226494634,0.7092
