source,target,weight
ADAL,ADAR,0.02
ADAL,ADFL,0.02
ADAL,ASHL,0.02
ADAL,AVDR,0.08
ADAL,PVQL,0.02
ADAL,AIAL,0.02
ADAL,PVPL,0.02
ADAL,AVDL,0.02
ADAL,RICL,0.04
ADAL,RICR,0.02
ADAL,AVAR,0.04
ADAL,FLPR,0.02
ADAL,ADLL,0.04
ADAL,OLQVL,0.02
ADAL,AIBL,0.02
ADAL,AIBR,0.04
ADAL,RIML,0.06
ADAL,AVBL,0.08
ADAL,AVAL,0.04
ADAL,AVBR,0.14
ADAL,AVEL,0.02
ADAL,URXL,0.02
ADAL,AVJR,0.1
ADAL,RIPL,0.02
ADAL,SMDVR,0.04
ADAL,URAVL,0.02
ADAR,ADAL,0.021739
ADAR,AVDR,0.043478
ADAR,PVR,0.043478
ADAR,ADFR,0.021739
ADAR,ASHR,0.065217
ADAR,AVDL,0.065217
ADAR,PVQR,0.021739
ADAR,RICL,0.021739
ADAR,RIMR,0.108696
ADAR,AVAR,0.130435
ADAR,AIBL,0.021739
ADAR,AIBR,0.021739
ADAR,RIVR,0.021739
ADAR,AVBL,0.043478
ADAR,AVAL,0.021739
ADAR,AVBR,0.108696
ADAR,AVEL,0.021739
ADAR,RIFR,0.021739
ADAR,URXR,0.021739
ADAR,AVJL,0.065217
ADAR,URYDR,0.021739
ADAR,RIPR,0.021739
ADAR,SMDVL,0.043478
ADEL,ADAL,0.014925
ADEL,RMGL,0.014925
ADEL,AVDL,0.014925
ADEL,ADER,0.014925
ADEL,AINL,0.014925
ADEL,AVKR,0.014925
ADEL,BDUL,0.014925
ADEL,FLPL,0.029851
ADEL,IL2L,0.059701
ADEL,AVAR,0.044776
ADEL,AVHL,0.014925
ADEL,RIH,0.029851
ADEL,CEPVL,0.014925
ADEL,RIGR,0.104478
ADEL,RIVL,0.014925
ADEL,RIGL,0.074627
ADEL,RIVR,0.014925
ADEL,SAADR,0.014925
ADEL,VB01,0.014925
ADEL,SIBDR,0.014925
ADEL,ALML,0.014925
ADEL,RIFL,0.014925
ADEL,SMBDR,0.014925
ADEL,AVAL,0.029851
ADEL,AVEL,0.014925
ADEL,SIBVL,0.014925
ADEL,URBL,0.014925
ADEL,AVL,0.014925
ADEL,CEPDL,0.014925
ADEL,IL1L,0.014925
ADEL,OLLL,0.029851
ADEL,RIAL,0.014925
ADEL,RMDL,0.059701
ADEL,RMDDR,0.014925
ADEL,SMBVL,0.014925
ADEL,SIBDL,0.014925
ADEL,SIADR,0.014925
ADEL,RMHL,0.014925
ADEL,RMER,0.059701
ADEL,RMHR,0.044776
ADER,ADAR,0.017241
ADER,AVDR,0.034483
ADER,ADEL,0.034483
ADER,PVR,0.017241
ADER,PVQR,0.017241
ADER,RMGR,0.034483
ADER,URBR,0.017241
ADER,AVKR,0.017241
ADER,ALA,0.017241
ADER,FLPL,0.017241
ADER,AVKL,0.051724
ADER,ALNR,0.034483
ADER,AVAR,0.017241
ADER,FLPR,0.034483
ADER,IL2R,0.017241
ADER,RIH,0.017241
ADER,AINR,0.017241
ADER,ASIR,0.017241
ADER,RIGR,0.068966
ADER,RIGL,0.12069
ADER,AVAL,0.086207
ADER,AVER,0.017241
ADER,CEPVR,0.017241
ADER,URXR,0.034483
ADER,AVJR,0.034483
ADER,SAAVR,0.017241
ADER,CEPDR,0.017241
ADER,IL1R,0.017241
ADER,OLLR,0.034483
ADER,PVM,0.017241
ADER,RMDR,0.034483
ADER,RIAR,0.017241
ADER,RMDL,0.017241
ADER,SMDVR,0.017241
ADFL,ADAL,0.032258
ADFL,ASHL,0.016129
ADFL,AIAL,0.016129
ADFL,AWBL,0.032258
ADFL,ADLL,0.016129
ADFL,OLQVL,0.016129
ADFL,AFDL,0.048387
ADFL,AIBL,0.016129
ADFL,AIBR,0.016129
ADFL,RIR,0.032258
ADFL,AIZL,0.209677
ADFL,AWCL,0.016129
ADFL,AWCR,0.016129
ADFL,RIGR,0.016129
ADFL,RIVL,0.016129
ADFL,RIGL,0.016129
ADFL,RIBL,0.016129
ADFL,AUAL,0.080645
ADFL,URXL,0.016129
ADFL,SMBDL,0.016129
ADFL,URBL,0.016129
ADFL,RIAL,0.258065
ADFL,RIPL,0.016129
